src_ip,Label,distinct_sources,days_seen,total_incidents,unique_dst_ip,src_port_zero_count,src_port_nonzero_count,src_port_zero_avg_inter_arrival_time,src_port_zero_min_inter_arrival_time,src_port_zero_max_inter_arrival_time,src_port_zero_stddev_inter_arrival_time,src_port_nonzero_avg_inter_arrival_time,src_port_nonzero_min_inter_arrival_time,src_port_nonzero_max_inter_arrival_time,src_port_nonzero_stddev_inter_arrival_time
185.65.206.144,Spoofed,2,4,26,6,20,6,15193.57895,774.0,125412.0,30313.11044,32686.0,6248.0,100186.0,35558.45699
46.59.189.221,Spoofed,1,1,2,1,0,2,,,,,4471.0,4471.0,4471.0,0.0
194.5.250.250,Spoofed,2,4,1049,5,1047,2,306.8938815,0.0,48042.0,1917.937369,158353.0,158353.0,158353.0,0.0
93.185.165.80,Spoofed,2,4,1056,6,1052,4,305.809705,0.0,48077.0,1923.64861,15006.33333,7657.0,27488.0,8872.157736
5.255.112.39,Spoofed,2,5,22,6,19,3,16046.5,0.0,75394.0,19656.11989,184500.5,36698.0,332303.0,147802.5
37.46.209.155,Spoofed,2,4,1022,6,1018,4,315.7256637,0.0,48299.0,1958.212831,25183.33333,3449.0,46868.0,17725.76731
178.143.55.78,Spoofed,2,4,1106,4,1105,1,290.8025362,0.0,48459.0,1874.565806,,,,
198.98.51.249,Spoofed,2,4,1483,5,1481,2,216.9891892,0.0,48040.0,1614.440423,31679.0,31679.0,31679.0,0.0
167.99.193.203,Spoofed,2,4,865,5,862,3,372.8141696,0.0,48290.0,2148.055421,20836.0,19136.0,22536.0,1700.0
37.187.74.97,Spoofed,2,4,3969,5,3967,2,81.001765,0.0,49201.0,1000.054069,118055.0,118055.0,118055.0,0.0
185.32.126.61,Spoofed,2,4,1042,4,1037,5,310.0173745,0.0,48142.0,1926.804226,16310.25,764.0,42962.0,17132.61157
185.194.57.75,Spoofed,2,5,1031,5,1028,3,312.9113924,0.0,49174.0,1953.799516,99995.0,4584.0,195406.0,95411.0
77.68.74.121,Spoofed,2,5,846,6,838,8,383.6535245,0.0,48085.0,2141.65221,47775.42857,805.0,183988.0,61132.92776
158.101.203.38,Spoofed,2,4,766,4,765,1,419.1269634,0.0,49815.0,2312.252099,,,,
185.120.16.8,Spoofed,2,5,1048,6,1042,6,308.8530259,0.0,48054.0,1916.20037,50713.4,1644.0,180676.0,66120.8264
173.232.194.19,Spoofed,2,4,24,6,17,7,19141.5625,0.0,89825.0,29800.33427,8474.5,132.0,23681.0,8457.366587
166.70.207.2,Spoofed,2,4,3282,5,3279,3,98.02318487,0.0,48408.0,1086.293613,59732.5,7285.0,112180.0,52447.5
